,0
0,!
1,""""
2,(
3,)
4,","
5,-
6,--
7,.
8,/
9,00
10,03
11,1
12,1.3
13,1.5
14,10
15,10.3
16,100
17,104
18,105
19,1060m
20,108
21,11
22,110
23,11008
24,1126.1129
25,1127.1140
26,1132
27,1132.1133
28,1133A
29,1136.1141
30,1137.1142
31,1139
32,1145
33,12
34,1200
35,124.6
36,1250
37,128
38,13
39,13.6
40,14
41,15
42,150
43,1542
44,157
45,16
46,165
47,168
48,16k
49,17
50,172
51,174.2
52,1747
53,176.4
54,178.2
55,178.3
56,18
57,180
58,182.5
59,1888
60,19
61,1914
62,1915
63,1921
64,193
65,1931
66,1942
67,1949
68,1950
69,1951
70,1960
71,1963
72,1969
73,1970
74,1971
75,1979
76,1985
77,1986
78,1996
79,2
80,2.1
81,2.3
82,2.5
83,2.85
84,20
85,2001
86,2002
87,2003
88,2004
89,2005
90,2006
91,2007
92,2008
93,201
94,2012
95,2014
96,2015
97,2016
98,2017
99,21
100,219.5
101,22.7
102,225.5
103,228
104,229
105,23.5
106,24
107,244K
108,25
109,2500
110,251.5
111,275
112,275.5
113,29
114,3
115,3.1
116,3.6
117,3.99
118,30
119,300
120,303
121,31
122,31.5
123,32
124,33
125,35
126,360
127,38
128,39
129,3D
130,4
131,4.1
132,4.2
133,4.5
134,4.8
135,40
136,400
137,41K
138,42
139,43
140,43.5
141,45
142,450
143,460
144,495
145,5
146,5.1
147,5.75
148,50
149,500
150,51
151,52
152,56
153,565m
154,59km
155,6
156,6.2
157,60
158,601
159,614
160,63
161,65
162,650
163,66
164,68
165,7
166,70
167,70.5
168,750
169,77
170,8
171,80
172,800
173,81
174,8230934
175,862
176,8705881
177,8781022
178,8791350
179,8875405
180,9
181,9.5
182,90
183,900
184,910
185,915
186,92
187,:
188,AMIS
189,BBS
190,BIG
191,Brayaw
192,Ciwdiyan
193,DIY
194,FORMOSA
195,IG
196,IlhaFormosa
197,K
198,KOM
199,LDT103
200,LOVE
201,LucyCoffee
202,Pizza
203,QQ
204,SPA
205,SUP
206,Sgadan
207,Skadang
208,Swiji
209,T
210,T2
211,VR
212,Walami
213,Xoxos
214,bin
215,feng
216,googlemap
217,gov
218,home
219,http
220,k
221,m
222,php
223,tw
224,www
225,x
226,~
227,°
228,–
229,—
230,‧
231,→
232,─
233,●
234,、
235,。
236,《
237,》
238,「
239,」
240,『
241,』
242,【
243,】
244,ㄧ
245,一
246,一一
247,一下
248,一人
249,一件
250,一份
251,一位
252,一來
253,一個
254,一個則
255,一側
256,一入
257,一共
258,一出
259,一分
260,一切
261,一到
262,一動
263,一同
264,一周
265,一圈
266,一場
267,一塊
268,一大
269,一天
270,一季
271,一定
272,一家
273,一小
274,一層
275,一帶
276,一幅
277,一幅幅
278,一年
279,一年四季
280,一座
281,一心
282,一排排
283,一探
284,一收
285,一整天
286,一整片
